Frame,Object ID,x1,y1,x2,y2
0,0,705.4,1116.1,816.23,1220.68
1,0,705.4,1116.1,816.23,1220.68
2,0,705.4,1116.1,816.23,1220.68
3,0,705.4,1116.1,816.23,1220.68
4,0,705.4,1116.1,816.23,1220.68
5,0,705.4,1116.1,816.23,1220.68
6,0,705.4,1116.1,816.23,1220.68
7,0,705.4,1116.1,816.23,1220.68
8,0,705.4,1116.1,816.23,1220.68
9,0,705.4,1116.1,816.23,1220.68
10,0,705.4,1116.1,816.23,1220.68
11,0,705.4,1116.1,816.23,1220.68
12,0,705.4,1116.1,816.23,1220.68
13,0,705.4,1116.1,816.23,1220.68
14,0,705.4,1116.1,816.23,1220.68
15,0,705.4,1116.1,816.23,1220.68
16,0,705.4,1116.1,816.23,1220.68
17,0,705.4,1116.1,816.23,1220.68
18,0,705.4,1116.1,816.23,1220.68
19,0,705.4,1116.1,816.23,1220.68
20,0,705.4,1116.1,816.23,1220.68
21,0,705.4,1116.1,816.23,1220.68
22,0,705.4,1116.1,816.23,1220.68
23,0,705.4,1116.1,816.23,1220.68
24,0,705.4,1116.1,816.23,1220.68
25,0,705.4,1116.1,816.23,1220.68
26,0,705.4,1116.1,816.23,1220.68
27,0,705.4,1116.1,816.23,1220.68
28,0,705.4,1116.1,816.23,1220.68
29,0,705.4,1116.1,816.23,1220.68
30,0,705.4,1116.1,816.23,1220.68
31,0,705.4,1116.1,816.23,1220.68
32,0,705.4,1116.1,816.23,1220.68
33,0,705.4,1116.1,816.23,1220.68
34,0,705.4,1116.1,816.23,1220.68
35,0,705.4,1116.1,816.23,1220.68
36,0,705.4,1116.1,816.23,1220.68
37,0,705.4,1116.1,816.23,1220.68
38,0,705.4,1116.1,816.23,1220.68
39,0,705.4,1116.1,816.23,1220.68
40,0,705.4,1116.1,816.23,1220.68
41,0,705.4,1116.1,816.23,1220.68
42,0,705.4,1116.1,816.23,1220.68
43,0,705.4,1116.1,816.23,1220.68
44,0,705.4,1116.1,816.23,1220.68
45,0,705.4,1116.1,816.23,1220.68
46,0,705.4,1116.1,816.23,1220.68
47,0,705.4,1116.1,816.23,1220.68
48,0,705.4,1116.1,816.23,1220.68
49,0,705.4,1116.1,816.23,1220.68
50,0,705.4,1116.1,816.23,1220.68
51,0,705.4,1116.1,816.23,1220.68
52,0,705.4,1116.1,816.23,1220.68
53,0,705.4,1116.1,816.23,1220.68
54,0,705.4,1116.1,816.23,1220.68
55,0,705.4,1116.1,816.23,1220.68
56,0,705.4,1116.1,816.23,1220.68
57,0,705.4,1116.1,816.23,1220.68
58,0,705.4,1116.1,816.23,1220.68
59,0,705.4,1116.1,816.23,1220.68
60,0,705.4,1116.1,816.23,1220.68
61,0,705.4,1116.1,816.23,1220.68
62,0,705.4,1116.1,816.23,1220.68
76,0,730.38,1116.1,811.55,1220.68
77,0,730.42,1115.95,811.59,1220.53
78,0,730.46,1115.8,811.63,1220.38
79,0,730.49,1115.65,811.66,1220.23
80,0,730.53,1115.5,811.7,1220.08
81,0,730.57,1115.35,811.74,1219.93
